k,channels,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec
10,dsDNA|Ta|Au|P|H3K27me3|Ca|C|Lag3|OX40|CD11c,41,33,8,0.49299900820761017,0.6200107071134779,0.7595215572251214,0.6613099839952257,0.9022181696361966,0.5123528689146042,0.6106431484222412,0.7501556277275085,0.6635472774505615,0.868759959936142
5,dsDNA|Ta|Au|P|H3K27me3,41,33,8,0.4775451792008949,0.6303813060124716,0.766984740893046,0.7047670152452257,0.8588906327883402,0.4876081794500351,0.6104198098182678,0.7471153736114502,0.6797276139259338,0.8609211444854736
2,dsDNA|Ta,41,33,8,0.4626639024777846,0.62343254354265,0.7591671811209785,0.7163191106584337,0.824303474691179,0.46899475157260895,0.607573390007019,0.7458073198795319,0.6748521029949188,0.8479531705379486
1,dsDNA,41,33,8,0.4573934186588634,0.5908968382411532,0.7345318330658807,0.5925478537877401,0.994923988978068,0.46466147899627686,0.5870475769042969,0.7331451773643494,0.5884942710399628,0.9947680830955505
6,dsDNA|Ta|Au|P|H3K27me3|Ca,41,33,8,0.4709396380366701,0.6032538546456231,0.7448452379968431,0.6296352677875094,0.9267554018232558,0.49045930802822113,0.5887007415294647,0.7328194975852966,0.6018868684768677,0.9522970914840698
8,dsDNA|Ta|Au|P|H3K27me3|Ca|C|Lag3,41,33,8,0.48672566088763153,0.5998644563886855,0.742005017068651,0.6173018548223708,0.9466844797134399,0.5068918913602829,0.5842495858669281,0.7291858196258545,0.5924817621707916,0.9652633368968964
3,dsDNA|Ta|Au,41,33,8,0.49687340584668244,0.5770303606987,0.7171711789237128,0.7193898359934489,0.755474309126536,0.5043546259403229,0.5868885666131973,0.7256367802619934,0.6884731650352478,0.782279372215271
9,dsDNA|Ta|Au|P|H3K27me3|Ca|C|Lag3|OX40,41,33,8,0.48295205289667303,0.5892886718114217,0.732710772090488,0.6248474915822347,0.9008330570326911,0.5023177713155746,0.580040842294693,0.7254469096660614,0.5983864068984985,0.9269710779190063
4,dsDNA|Ta|Au|P,41,33,8,0.48645192926580255,0.5683188537756602,0.7130767438146803,0.5695992973115709,0.9948696229192946,0.4989558607339859,0.5753897875547409,0.722067803144455,0.5763559639453888,0.9962075054645538
7,dsDNA|Ta|Au|P|H3K27me3|Ca|C,41,33,8,0.4855790300802751,0.5451800756984286,0.6804675062497457,0.8199606935183207,0.6398050685723623,0.4944799095392227,0.5850087553262711,0.7081811130046844,0.7951955795288086,0.7047619521617889
