channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
SegmentationInterior,41,33,8,0.38168421748912695,0.7231196496221755,0.8388069007131789,0.8335131406784058,0.8454744219779968,0.3792010545730591,0.7193509936332703,0.8364477753639221,0.8341577053070068,0.8399977684020996,
dsDNA,41,33,8,0.4285683234532674,0.6712119777997335,0.8009483151965671,0.7197665439711677,0.9111336138513353,0.43522919714450836,0.6543105244636536,0.7889387011528015,0.7135681509971619,0.8965499103069305,
Ta,41,33,8,0.5048861756469264,0.5943722989824083,0.7367684311336942,0.6124888790978326,0.9396688938140869,0.5288805663585663,0.5655632615089417,0.7125381827354431,0.5859566330909729,0.9305469989776611,
P,41,33,8,0.5872179739403002,0.5699265930387709,0.7158143917719523,0.570385668012831,0.9985729919539558,0.6129809617996216,0.5547734498977661,0.7026336789131165,0.5551254451274872,0.9988884031772614,
Si,41,33,8,0.5380608719406705,0.5983501209153069,0.7378318442238702,0.6025968293348948,0.9873818622695075,0.5641608536243439,0.5542106926441193,0.7022518813610077,0.5546646416187286,0.99772709608078,
Beta_catenin,41,33,8,0.5507533450921377,0.5932852923870087,0.7340682215160794,0.5936582816971673,0.9989554617140028,0.5630370080471039,0.5537211000919342,0.7017374634742737,0.5538775026798248,0.9995770752429962,
C,41,33,8,0.5823066234588623,0.5950639512803819,0.735211557812161,0.5950639512803819,1.0,0.5881569981575012,0.5537095069885254,0.70172119140625,0.5537095069885254,1.0,
CD209,41,33,8,0.5447027023994562,0.5898106462425656,0.7316939367188348,0.5899839864836799,0.9993277192115784,0.5598259270191193,0.5536757409572601,0.7016983330249786,0.5537088811397552,0.9999314546585083,
CD56,41,33,8,0.5494061861977433,0.5922919578022428,0.733401874701182,0.5923513935671912,0.999820265505049,0.5621692836284637,0.5536657869815826,0.7016870975494385,0.5537074208259583,0.9998806118965149,
CD31,41,33,8,0.5450094974402225,0.5707573294639587,0.7166902290450202,0.5708896517753601,0.9996753202544318,0.5610635578632355,0.5536123812198639,0.7016501128673553,0.5537289083003998,0.9997045397758484,
CD8,41,33,8,0.5562748692252419,0.5890715784496732,0.7312232189708285,0.589509109656016,0.99902386797799,0.567280650138855,0.5533825159072876,0.7014942765235901,0.5536947846412659,0.9993073344230652,
SMA,41,33,8,0.5439243172154282,0.5834616621335348,0.7271897130542331,0.5837024185392592,0.9993558062447442,0.561344712972641,0.5533668994903564,0.7014153003692627,0.5538170039653778,0.9981798827648163,
CD45RO,41,33,8,0.5436041788621382,0.5833810369173685,0.7271246512730917,0.5837318831019931,0.9989988274044461,0.5599653720855713,0.5533614456653595,0.7014459371566772,0.5536947846412659,0.998937577009201,
MPO,41,33,8,0.5713641824144305,0.5635596348179711,0.70976189772288,0.5638588534461128,0.9991885821024576,0.579170823097229,0.5533157885074615,0.7013681530952454,0.5536157488822937,0.9988101720809937,
