channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
Ta,41,33,8,0.5107830798987186,0.5821117891205682,0.7261716657214694,0.6132456130451627,0.9014781581030952,0.5278136730194092,0.5583718717098236,0.7058084011077881,0.5890746712684631,0.9022670984268188,
Au,41,33,8,0.515925640409643,0.5968168808354272,0.7369997170236375,0.6165850394301944,0.9318240152464973,0.5368691682815552,0.556547611951828,0.7040799558162689,0.5783148407936096,0.921454906463623,
dsDNA,41,33,8,0.5480148792266846,0.5784599383672079,0.7287223206626045,0.6539680891566806,0.8297410673565335,0.5558864176273346,0.5541593730449677,0.7101650834083557,0.6444123387336731,0.8016557097434998,
H3K27me3,41,33,8,0.5190801963661656,0.583877960840861,0.7275408837530348,0.584082629945543,0.9995047847429911,0.5332489311695099,0.5539247691631317,0.701933741569519,0.5541744530200958,0.9992227852344513,
P,41,33,8,0.5292728525219541,0.5802870459026761,0.7248608668645223,0.5828259719742669,0.993231475353241,0.5401152074337006,0.5538756251335144,0.7020056545734406,0.5560390651226044,0.9937804341316223,
Ca,41,33,8,0.5478766795360681,0.5773131781154208,0.7223813533782959,0.5781396561198764,0.9976829952663846,0.5734176337718964,0.5537263453006744,0.7017649412155151,0.5538564622402191,0.9994151890277863,
C,41,33,8,0.5822981270876798,0.5950639512803819,0.7352115313212076,0.5950639512803819,1.0,0.5881497263908386,0.5537095069885254,0.70172119140625,0.5537095069885254,1.0,
Lag3,41,33,8,0.5521367174206357,0.5742852754063077,0.7198005583551195,0.5742915140257941,0.9999851319524977,0.5630854368209839,0.5537014901638031,0.7017153203487396,0.5537082254886627,0.9999846816062927,
OX40,41,33,8,0.5475414124402133,0.5739980207549201,0.7195535567071702,0.5740141007635329,0.999959925810496,0.5607642233371735,0.5536862015724182,0.7017014920711517,0.5537018179893494,0.9999471604824066,
Keratin17,41,33,8,0.5437128778659936,0.5718977716233995,0.7177108592457242,0.5721120105849372,0.9992653859986199,0.562773585319519,0.5536799132823944,0.7016853988170624,0.5538418889045715,0.9994751811027527,
CD11c,41,33,8,0.5448088013764584,0.593180431260003,0.73399418592453,0.5932459003395505,0.999848829375373,0.5639172792434692,0.5536772310733795,0.701699435710907,0.5537470281124115,0.9998456835746765,
CD163,41,33,8,0.5483373439673221,0.5739271110958524,0.719495005077786,0.5740019314818912,0.999766124619378,0.5619121789932251,0.5536476373672485,0.7016744613647461,0.553704708814621,0.9998489320278168,
B7H3,41,33,8,0.5446671446164449,0.5547107756137848,0.6998419761657715,0.5548316538333893,0.9996319744322035,0.5612812936306,0.5534694790840149,0.701544314622879,0.5537213087081909,0.9993062913417816,
FoxP3,41,33,8,0.5609478119647864,0.5734524130821228,0.719192624092102,0.5739822255240546,0.9989948405159844,0.5704547464847565,0.5532290041446686,0.7013875246047974,0.5536457896232605,0.9991280138492584,
