channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
dsDNA,41,33,8,0.4359039637175473,0.6618118087450663,0.7940875689188639,0.6788713137308756,0.9595665468109978,0.4379740059375763,0.6478405296802521,0.7847915291786194,0.6731570959091187,0.9444583654403687,
P,41,33,8,0.48533726280385797,0.5955425832006667,0.7345326145490011,0.7186317178938124,0.7712310751279196,0.46525637805461884,0.6084600985050201,0.7526395916938782,0.7162165343761444,0.795801967382431,
Ca,41,33,8,0.49859021107355755,0.5905770129627652,0.7344319886631436,0.6339399019877116,0.891292843553755,0.4985641986131668,0.5767936706542969,0.7228556275367737,0.6046249270439148,0.9085720181465149,
Na,41,33,8,0.5188581311341488,0.5712557832400004,0.7180657651689317,0.6181358959939744,0.8755682640605502,0.523912250995636,0.5563629269599915,0.7062239646911621,0.5860350728034973,0.9137555956840515,
CD56,41,33,8,0.5507256280292164,0.5939039091269175,0.733828067779541,0.6004733112123277,0.9831300444073148,0.5684751868247986,0.5479048192501068,0.6971929371356964,0.5538492202758789,0.9818395972251892,
CD209,41,33,8,0.5509307565111102,0.562388559182485,0.710749606291453,0.5744193759229448,0.9671161042319404,0.5650749504566193,0.5445639491081238,0.6948269009590149,0.5541940927505493,0.9724353551864624,
CD31,41,33,8,0.5494585561029839,0.5798109968503317,0.7242569923400879,0.5902676946587033,0.971916119257609,0.5654294788837433,0.5428215861320496,0.6930297017097473,0.55301433801651,0.9682084023952484,
Keratin17,41,33,8,0.555796478733872,0.5646367735332913,0.7126106553607516,0.5782858795589871,0.9607752958933512,0.5731096565723419,0.5393882989883423,0.6906840205192566,0.5542818605899811,0.9577409327030182,
CD45RO,41,33,8,0.5564316167975917,0.552742620309194,0.7028792434268527,0.5706330802705553,0.9512651761372884,0.5678761005401611,0.5372374653816223,0.6888019144535065,0.5529240965843201,0.9541439116001129,
OX40,41,33,8,0.5535170562339552,0.563366711139679,0.711720327536265,0.5868815514776442,0.9353165494071113,0.5644007623195648,0.5356360077857971,0.687664657831192,0.554826557636261,0.943071722984314,
phospho-S6,41,33,8,0.5176244251655809,0.5786601569917467,0.7261677318149142,0.6101530989011129,0.9163025551372104,0.5356243848800659,0.5329394489526749,0.6807114779949188,0.5951985716819763,0.8159817159175873,
Au,41,33,8,0.5154627633817268,0.5538356966442533,0.6998009814156426,0.6232530176639557,0.8084068497021993,0.5373720526695251,0.5257629007101059,0.6754648983478546,0.5840520262718201,0.8250839710235596,
CD138,41,33,8,0.547915209423412,0.5493276317914327,0.6991998487048678,0.5730349653297,0.9258251786231995,0.5721853375434875,0.5253816246986389,0.6797698140144348,0.5554853975772858,0.9183263182640076,
Ta,41,33,8,0.5078101302638198,0.5673077073362138,0.710956699318356,0.6249955362743802,0.8333264787991842,0.5329627990722656,0.5241148471832275,0.6721089780330658,0.5844707787036896,0.8208801746368408,
CD3,41,33,8,0.5534827095089536,0.5381689833270179,0.6909783217642043,0.5756960577434964,0.8920133842362298,0.5625056624412537,0.5233277678489685,0.677307516336441,0.5555439591407776,0.9002367556095123,
SMA,41,33,8,0.553725973223195,0.5622086425622305,0.7098957035276625,0.5954485370053185,0.9087363415294223,0.5731546580791473,0.5168598592281342,0.6720669865608215,0.5541283786296844,0.8945626616477966,
H3K27me3,41,33,8,0.4705024885408806,0.6283561256196764,0.7677774959140353,0.7182805140813192,0.8352017601331075,0.5128019154071808,0.5167000740766525,0.6398280262947083,0.7180896401405334,0.6896036565303802,
MPO,41,33,8,0.5568139029271675,0.5301579005188413,0.6843074626392789,0.5732033650080363,0.8773666355344985,0.5706802606582642,0.5121686309576035,0.6676012575626373,0.5533720552921295,0.874610960483551,
PD1,41,33,8,0.5612449898864283,0.5418491860230764,0.6946077479256524,0.5877193378077613,0.8780358698632982,0.5707540810108185,0.5098700523376465,0.6659881472587585,0.552257239818573,0.8729183971881866,
Lag3,41,33,8,0.5614959904641816,0.5246244271596273,0.6802006761233012,0.5849858853552077,0.8385492430792915,0.5685767829418182,0.5093356072902679,0.6642200648784637,0.5528080463409424,0.8577443063259125,
C,41,33,8,0.5760196501558478,0.5239379604657491,0.6800852484173245,0.5767643054326376,0.8579050766097175,0.5830930173397064,0.5046955794095993,0.6626465320587158,0.5549414753913879,0.8568819463253021,
Si,41,33,8,0.5411563515663147,0.502702984544966,0.6507193942864736,0.5897760821713341,0.7583421402507358,0.5646563172340393,0.49429959058761597,0.648308277130127,0.5566457808017731,0.815313994884491,
B7H3,41,33,8,0.5802833763035861,0.525619626045227,0.6814200017187331,0.5989078614446852,0.8202263911565145,0.5869130790233612,0.48739224672317505,0.6477998793125153,0.553815633058548,0.8126609027385712,
HLA-DR,41,33,8,0.5655430338599465,0.5006285044882033,0.660437093840705,0.5881376167138418,0.7797979050212436,0.5806252658367157,0.4755380004644394,0.6360499858856201,0.5535767376422882,0.7743272483348846,
CD4,41,33,8,0.5651590878313238,0.4892144931687249,0.6500649054845175,0.5749620530340407,0.7715902394718595,0.5750401616096497,0.4713200032711029,0.6332756280899048,0.5525527000427246,0.7709705829620361,
Pan-Keratin,41,33,8,0.5605632102850712,0.512062089310752,0.6695540547370911,0.5959269172615476,0.783830291695065,0.5871658623218536,0.46182766556739807,0.6232306063175201,0.5542013645172119,0.7389711737632751,
CD11b,41,33,8,0.574201529676264,0.47887861728668213,0.6418600678443909,0.5811663601133559,0.7406122154659696,0.5837676823139191,0.45709580183029175,0.6212530136108398,0.5499502718448639,0.7485271990299225,
H3K9ac,41,33,8,0.5030894423976089,0.5281965666347079,0.6879297693570455,0.7850104173024496,0.61840377913581,0.5328351557254791,0.44798117876052856,0.6058313846588135,0.7683053314685822,0.5235757380723953,
Keratin6,41,33,8,0.5661977421153676,0.4810282786687215,0.6414592862129211,0.5706641409132216,0.7575994465086195,0.583778977394104,0.44343988597393036,0.6104237139225006,0.563652753829956,0.6917272806167603,
Ki67,41,33,8,0.5755195220311483,0.44352833098835415,0.6087079048156738,0.5865313079622057,0.6489562922053866,0.5807296335697174,0.43961216509342194,0.603964775800705,0.5580638349056244,0.6765369176864624,
FoxP3,41,33,8,0.5739824952501239,0.4527292913860745,0.6169404851065742,0.5732215642929077,0.6865247156884935,0.5832255780696869,0.43446479737758636,0.5988021492958069,0.5506411194801331,0.6774456202983856,
CD20,41,33,8,0.5753790248524059,0.4689765539434221,0.6284155117140876,0.5976086192660861,0.6838498579131232,0.5866197943687439,0.43233637511730194,0.5935811102390289,0.552484780550003,0.6611151099205017,
CD11c,41,33,8,0.5862444566957878,0.42985352211528355,0.5947439273198446,0.5806141297022501,0.628223094675276,0.5900372266769409,0.4272463023662567,0.5930156707763672,0.5597584843635559,0.6501272022724152,
p53,41,33,8,0.5777089234554407,0.4436003698243035,0.6085168454382155,0.6016094088554382,0.6428381601969401,0.5857603549957275,0.421992689371109,0.5856229662895203,0.5584302842617035,0.6486634314060211,
Vimentin,41,33,8,0.5740502241886023,0.42013537883758545,0.5822619994481405,0.5794317722320557,0.6033092439174652,0.5810021460056305,0.40663817524909973,0.5687481760978699,0.560403048992157,0.5934201180934906,
Beta_catenin,41,33,8,0.5687411842924176,0.43467477957407635,0.599306066830953,0.5930353071954515,0.6185243858231438,0.5824716687202454,0.40220193564891815,0.5702611804008484,0.5767288208007812,0.5799486041069031,
CD8,41,33,8,0.5838596495715055,0.36796750624974567,0.5338833133379618,0.5778363049030304,0.5061520006921556,0.5880374014377594,0.3669644594192505,0.5307772755622864,0.5493493974208832,0.5229833126068115,
PD-L1,41,33,8,0.5804090138637659,0.34192143711778855,0.49511705173386467,0.5904828707377116,0.45547739333576626,0.581279993057251,0.3668860197067261,0.5204979330301285,0.5599146783351898,0.5150228440761566,
HLA_Class_1,41,33,8,0.7021896784955804,0.3442881107330322,0.4953183697329627,0.6186375452412499,0.4380489190419515,0.7481556236743927,0.3248225748538971,0.48218998312950134,0.5825879573822021,0.42318280041217804,
CSF-1R,41,33,8,0.5882920099027229,0.3201032777627309,0.4814215964741177,0.5803427033954196,0.4212877055009206,0.5943900346755981,0.3144863098859787,0.47409383952617645,0.5570970773696899,0.4210517108440399,
CD16,41,33,8,0.5907375053925947,0.3110736989312702,0.4716558555761973,0.5837799343797896,0.413780066702101,0.5975699126720428,0.29530809819698334,0.453060045838356,0.5577882826328278,0.3940056264400482,
CD163,41,33,8,0.5759443514274828,0.2992013725969527,0.45884809229109025,0.6017534765932295,0.3809008366531796,0.5848436653614044,0.2840552031993866,0.4395788311958313,0.5577781200408936,0.37285518646240234,
CD63,41,33,8,0.599910885998697,0.297092295355267,0.44963409503300983,0.5996366474363539,0.37974406282107037,0.6066763401031494,0.2450154796242714,0.3892131447792053,0.5505291521549225,0.3360925614833832,
CD68,41,33,8,0.6086426648226652,0.17813624938329062,0.29954782459470963,0.5625116758876376,0.2151353077756034,0.6126235723495483,0.16809362918138504,0.28648047149181366,0.5518462955951691,0.2091679871082306,
CD45,41,33,8,0.6171006379705487,0.1624229500691096,0.26986664202478194,0.6228383945094215,0.17929399841361576,0.6266264319419861,0.13049522787332535,0.22872177511453629,0.5830640494823456,0.14274679124355316,
IDO,41,33,8,0.6188183481043036,0.06699214999874432,0.1219596341252327,0.5908418761359321,0.07084113152490722,0.615411639213562,0.0792919471859932,0.14325127750635147,0.5313191711902618,0.08443523198366165,
